Unnamed: 0,Unnamed: 1,Q3 95,Q3 95.1,Q3 95.2,Q3 95.3,Q3 95.4,Q3 95.5,Q3 95.6,Q3 95.7,Q3 95.8,Q3 95.9,Q3 95.10,Q3 95.11,Q3 95.12,Q4 95,Q4 95.1,Q4 95.2,Q4 95.3,Q4 95.4,Q4 95.5,Q4 95.6,Q4 95.7,Q4 95.8,Q4 95.9,Q4 95.10,Q4 95.11,Q4 95.12,Q1 96,Q1 96.1,Q1 96.2,Q1 96.3,Q1 96.4,Q1 96.5,Q1 96.6,Q1 96.7,Q1 96.8,Q1 96.9,Q1 96.10,Q1 96.11,Q1 96.12,Q2 96,Q2 96.1,Q2 96.2,Q2 96.3,Q2 96.4,Q2 96.5,Q2 96.6,Q2 96.7,Q2 96.8,Q2 96.9,Q2 96.10,Q2 96.11,Q2 96.12,Q3 96,Q3 96.1,Q3 96.2,Q3 96.3,Q3 96.4,Q3 96.5,Q3 96.6,Q3 96.7,Q3 96.8,Q3 96.9,Q3 96.10,Q3 96.11,Q3 96.12,Q4 96,Q4 96.1,Q4 96.2,Q4 96.3,Q4 96.4,Q4 96.5,Q4 96.6,Q4 96.7,Q4 96.8,Q4 96.9,Q4 96.10,Q4 96.11,Q4 96.12,Q4 96.13,Q1 97,Q1 97.1,Q1 97.2,Q1 97.3,Q1 97.4,Q1 97.5,Q1 97.6,Q1 97.7,Q1 97.8,Q1 97.9,Q1 97.10,Q1 97.11,Q1 97.12,Q2 97,Q2 97.1,Q2 97.2,Q2 97.3,Q2 97.4,Q2 97.5,Q2 97.6,Q2 97.7,Q2 97.8,Q2 97.9,Q2 97.10,Q2 97.11,Q2 97.12,Q3 97,Q3 97.1,Q3 97.2,Q3 97.3,Q3 97.4,Q3 97.5,Q3 97.6,Q3 97.7,Q3 97.8,Q3 97.9,Q3 97.10,Q3 97.11,Q3 97.12,Q4 97,Q4 97.1,Q4 97.2,Q4 97.3,Q4 97.4,Q4 97.5,Q4 97.6,Q4 97.7,Q4 97.8,Q4 97.9,Q4 97.10,Q4 97.11,Q4 97.12,Q1 98,Q1 98.1,Q1 98.2,Q1 98.3,Q1 98.4,Q1 98.5,Q1 98.6,Q1 98.7,Q1 98.8,Q1 98.9,Q1 98.10,Q1 98.11,Q1 98.12,Q2 98,Q2 98.1,Q2 98.2,Q2 98.3,Q2 98.4,Q2 98.5,Q2 98.6,Q2 98.7,Q2 98.8,Q2 98.9,Q2 98.10,Q2 98.11,Q2 98.12,Q3 98,Q3 98.1,Q3 98.2,Q3 98.3,Q3 98.4,Q3 98.5,Q3 98.6,Q3 98.7,Q3 98.8,Q3 98.9,Q3 98.10,Q3 98.11,Q3 98.12,Q4 98,Q4 98.1,Q4 98.2,Q4 98.3,Q4 98.4,Q4 98.5,Q4 98.6,Q4 98.7,Q4 98.8,Q4 98.9,Q4 98.10,Q4 98.11,Q4 98.12,Q1 99,Q1 99.1,Q1 99.2,Q1 99.3,Q1 99.4,Q1 99.5,Q1 99.6,Q1 99.7,Q1 99.8,Q1 99.9,Q1 99.10,Q1 99.11,Q1 99.12,Q2 99,Q2 99.1,Q2 99.2,Q2 99.3,Q2 99.4,Q2 99.5,Q2 99.6,Q2 99.7,Q2 99.8,Q2 99.9,Q2 99.10,Q2 99.11,Q2 99.12,Q3 99,Q3 99.1,Q3 99.2,Q3 99.3,Q3 99.4,Q3 99.5,Q3 99.6,Q3 99.7,Q3 99.8,Q3 99.9,Q3 99.10,Q3 99.11,Q3 99.12,Q4 99,Q4 99.1,Q4 99.2,Q4 99.3,Q4 99.4,Q4 99.5,Q4 99.6,Q4 99.7,Q4 99.8,Q4 99.9,Q4 99.10,Q4 99.11,Q4 99.12,Q1 00,Q1 00.1,Q1 00.2,Q1 00.3,Q1 00.4,Q1 00.5,Q1 00.6,Q1 00.7,Q1 00.8,Q1 00.9,Q1 00.10,Q1 00.11,Q1 00.12,Q2 00,Q2 00.1,Q2 00.2,Q2 00.3,Q2 00.4,Q2 00.5,Q2 00.6,Q2 00.7,Q2 00.8,Q2 00.9,Q2 00.10,Q2 00.11,Q2 00.12,Q3 00,Q3 00.1,Q3 00.2,Q3 00.3,Q3 00.4,Q3 00.5,Q3 00.6,Q3 00.7,Q3 00.8,Q3 00.9,Q3 00.10,Q3 00.11,Q3 00.12,Q4 00,Q4 00.1,Q4 00.2,Q4 00.3,Q4 00.4,Q4 00.5,Q4 00.6,Q4 00.7,Q4 00.8,Q4 00.9,Q4 00.10,Q4 00.11,Q4 00.12,Q1 01,Q1 01.1,Q1 01.2,Q1 01.3,Q1 01.4,Q1 01.5,Q1 01.6,Q1 01.7,Q1 01.8,Q1 01.9,Q1 01.10,Q1 01.11,Q1 01.12,Q2 01,Q2 01.1,Q2 01.2,Q2 01.3,Q2 01.4,Q2 01.5,Q2 01.6,Q2 01.7,Q2 01.8,Q2 01.9,Q2 01.10,Q2 01.11,Q2 01.12,Q3 01,Q3 01.1,Q3 01.2,Q3 01.3,Q3 01.4,Q3 01.5,Q3 01.6,Q3 01.7,Q3 01.8,Q3 01.9,Q3 01.10,Q3 01.11,Q3 01.12,Q4 01,Q4 01.1,Q4 01.2,Q4 01.3,Q4 01.4,Q4 01.5,Q4 01.6,Q4 01.7,Q4 01.8,Q4 01.9,Q4 01.10,Q4 01.11,Q4 01.12,Q1 02,Q1 02.1,Q1 02.2,Q1 02.3,Q1 02.4,Q1 02.5,Q1 02.6,Q1 02.7,Q1 02.8,Q1 02.9,Q1 02.10,Q1 02.11,Q1 02.12,Q2 02,Q2 02.1,Q2 02.2,Q2 02.3,Q2 02.4,Q2 02.5,Q2 02.6,Q2 02.7,Q2 02.8,Q2 02.9,Q2 02.10,Q2 02.11,Q2 02.12,Q3 02,Q3 02.1,Q3 02.2,Q3 02.3,Q3 02.4,Q3 02.5,Q3 02.6,Q3 02.7,Q3 02.8,Q3 02.9,Q3 02.10,Q3 02.11,Q3 02.12,Q4 02,Q4 02.1,Q4 02.2,Q4 02.3,Q4 02.4,Q4 02.5,Q4 02.6,Q4 02.7,Q4 02.8,Q4 02.9,Q4 02.10,Q4 02.11,Q4 02.12,Q1 03,Q1 03.1,Q1 03.2,Q1 03.3,Q1 03.4,Q1 03.5,Q1 03.6,Q1 03.7,Q1 03.8,Q1 03.9,Q1 03.10,Q1 03.11,Q1 03.12,Q2 03,Q2 03.1,Q2 03.2,Q2 03.3,Q2 03.4,Q2 03.5,Q2 03.6,Q2 03.7,Q2 03.8,Q2 03.9,Q2 03.10,Q2 03.11,Q2 03.12,Q3 03,Q3 03.1,Q3 03.2,Q3 03.3,Q3 03.4,Q3 03.5,Q3 03.6,Q3 03.7,Q3 03.8,Q3 03.9,Q3 03.10,Q3 03.11,Q3 03.12,Q4 03,Q4 03.1,Q4 03.2,Q4 03.3,Q4 03.4,Q4 03.5,Q4 03.6,Q4 03.7,Q4 03.8,Q4 03.9,Q4 03.10,Q4 03.11,Q4 03.12
Product ID,Attribute,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35,WW_36,WW_37,WW_38,WW_39,WW_40,WW_41,WW_42,WW_43,WW_44,WW_45,WW_46,WW_47,WW_48,WW_49,WW_50,WW_51,WW_52,WW_01,WW_02,WW_03,WW_04,WW_05,WW_06,WW_07,WW_08,WW_09,WW_10,WW_11,WW_12,WW_13,WW_14,WW_15,WW_16,WW_17,WW_18,WW_19,WW_20,WW_21,WW_22,WW_23,WW_24,WW_25,WW_26,WW_27,WW_28,WW_29,WW_30,WW_31,WW_32,WW_33,WW_34,WW_35
Total,Available Capacity,11037,10791,10265,10223,10181,11248,12023,12066,12066,11153,10503,10754,13437,10800,11600,12400,12700,12648,12069,12501,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12300,12300,12300,12160,11610,11505,10860,10355,9805,9260,8745,8697,8617,8070,8000,8000,8000,8000,8000,8000,8000,8000,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7200,7100,7000,6900,6800,6700,10800,11600,12400,12700,12648,12069,12501,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12300,12300,12300,12160,11610,11505,10860,10355,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7200,7100,7000,6900,6800,6700,10800,11600,12400,12700,12648,12069,12501,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12300,12300,12300,12160,11610,11505,10860,10355,9805,9260,8745,8697,8617,8070,8000,8000,8000,8000,8000,8000,8000,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12300,12300,12300,12160,11610,11505,10860,10355,9805,9260,8745,8697,8617,8070,8000,8000,8000,8000,8000,8000,8000,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12700,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12300,12300,12300,12160,11610,11505,10860,10355,9805,9260,8745,8697,8617,8070,8000,8000,8000,8000,8000,8000,8000
Total,Scheduled Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Over/Under Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21A,Available Capacity,5155,5258,5182,4840,4890,4830,4230,4373,4000,4000,4000,4000,4000,4000,4000,4000,4130,4930,4900,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4200,4100,4000,3900,3800,3700,4000,4000,4000,4130,4930,4900,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4200,4100,4000,3900,3800,3700,4000,4000,4000,4130,4930,4900,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
21A,Scheduled Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21A,Over/Under Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22B,Available Capacity,4000,4000,4000,4000,4000,4016,4316,4416,4545,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
22B,Scheduled Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22B,Over/Under Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
