Product_ID,Attribute,Quarter,Value
21A,Safety Stock Target,Q2_95,0.0
21A,EffectiveDemand,Q2_95,0.0
21A,Total Projected Inventory Balance,Q2_95,141337199.35999998
22B,Safety Stock Target,Q2_95,0.0
22B,EffectiveDemand,Q2_95,0.0
22B,Total Projected Inventory Balance,Q2_95,164824302.72
23C,Safety Stock Target,Q2_95,0.0
23C,EffectiveDemand,Q2_95,0.0
23C,Total Projected Inventory Balance,Q2_95,184132359.936
21A,Safety Stock Target,Q3_95,679992670.5717602
21A,EffectiveDemand,Q3_95,3920865476.2527657
21A,Total Projected Inventory Balance,Q3_95,-398900228.9237671
22B,Safety Stock Target,Q3_95,283186617.3041231
22B,EffectiveDemand,Q3_95,1541047872.0
22B,Total Projected Inventory Balance,Q3_95,318044713.0594976
23C,Safety Stock Target,Q3_95,706503770.3388937
23C,EffectiveDemand,Q3_95,4705495605.907281
23C,Total Projected Inventory Balance,Q3_95,2088819147.929823
21A,Safety Stock Target,Q4_95,545315430.298146
21A,EffectiveDemand,Q4_95,4857090504.084001
21A,Total Projected Inventory Balance,Q4_95,-5255990733.007768
22B,Safety Stock Target,Q4_95,396739587.2068459
22B,EffectiveDemand,Q4_95,2358376697.6000004
22B,Total Projected Inventory Balance,Q4_95,-2040331984.5405028
23C,Safety Stock Target,Q4_95,947758578.0083736
23C,EffectiveDemand,Q4_95,6467992263.665929
23C,Total Projected Inventory Balance,Q4_95,-4379173115.736106
21A,Safety Stock Target,Q1_96,479106991.06482095
21A,EffectiveDemand,Q1_96,3895110216.415329
21A,Total Projected Inventory Balance,Q1_96,-9151100949.423096
22B,Safety Stock Target,Q1_96,213027450.185226
22B,EffectiveDemand,Q1_96,2312831674.299999
22B,Total Projected Inventory Balance,Q1_96,-4353163658.840502
23C,Safety Stock Target,Q1_96,1255316127.5691347
23C,EffectiveDemand,Q1_96,5867076911.480407
23C,Total Projected Inventory Balance,Q1_96,-10246250027.216513
21A,Safety Stock Target,Q2_96,983931852.1396012
21A,EffectiveDemand,Q2_96,3422192793.3201494
21A,Total Projected Inventory Balance,Q2_96,-12573293742.743244
22B,Safety Stock Target,Q2_96,228154867.3361104
22B,EffectiveDemand,Q2_96,1241864059.3757567
22B,Total Projected Inventory Balance,Q2_96,-5595027718.216259
23C,Safety Stock Target,Q2_96,1505515703.428649
23C,EffectiveDemand,Q2_96,6276580637.845675
23C,Total Projected Inventory Balance,Q2_96,-16522830665.062187
21A,Safety Stock Target,Q3_96,398993213.1640063
21A,EffectiveDemand,Q3_96,7028084658.140007
21A,Total Projected Inventory Balance,Q3_96,-19601378400.88325
22B,Safety Stock Target,Q3_96,272551315.15328914
22B,EffectiveDemand,Q3_96,2660101592.2595825
22B,Total Projected Inventory Balance,Q3_96,-8255129310.4758415
23C,Safety Stock Target,Q3_96,1245147107.3478353
23C,EffectiveDemand,Q3_96,15055157034.286486
23C,Total Projected Inventory Balance,Q3_96,-31577987699.34867
21A,Safety Stock Target,Q4_96,132231364.79720488
21A,EffectiveDemand,Q4_96,2849951522.6000447
21A,Total Projected Inventory Balance,Q4_96,-22451329923.48329
22B,Safety Stock Target,Q4_96,235712126.7930976
22B,EffectiveDemand,Q4_96,1588864169.055049
22B,Total Projected Inventory Balance,Q4_96,-9843993479.530891
23C,Safety Stock Target,Q4_96,950490474.8088772
23C,EffectiveDemand,Q4_96,6225735536.739175
23C,Total Projected Inventory Balance,Q4_96,-37803723236.087845
21A,Safety Stock Target,Q1_97,207997195.50839943
21A,EffectiveDemand,Q1_97,944509748.5514634
21A,Total Projected Inventory Balance,Q1_97,-23395839672.03476
22B,Safety Stock Target,Q1_97,228618627.10814825
22B,EffectiveDemand,Q1_97,1479807074.0373838
22B,Total Projected Inventory Balance,Q1_97,-11323800553.568275
23C,Safety Stock Target,Q1_97,557841858.418099
23C,EffectiveDemand,Q1_97,5118025633.586262
23C,Total Projected Inventory Balance,Q1_97,-42921748869.6741
21A,Safety Stock Target,Q2_97,205904100.24823096
21A,EffectiveDemand,Q2_97,1485694253.631425
21A,Total Projected Inventory Balance,Q2_97,-24881533925.666183
22B,Safety Stock Target,Q2_97,203069711.7995721
22B,EffectiveDemand,Q2_97,1332754328.4331512
22B,Total Projected Inventory Balance,Q2_97,-12656554882.001429
23C,Safety Stock Target,Q2_97,423382482.23913056
23C,EffectiveDemand,Q2_97,2789209292.090495
23C,Total Projected Inventory Balance,Q2_97,-45710958161.7646
21A,Safety Stock Target,Q3_97,423122271.64277
21A,EffectiveDemand,Q3_97,1470743573.2016497
21A,Total Projected Inventory Balance,Q3_97,-26352277498.867832
22B,Safety Stock Target,Q3_97,169041931.49319857
22B,EffectiveDemand,Q3_97,1183814463.4055777
22B,Total Projected Inventory Balance,Q3_97,-13840369345.407003
23C,Safety Stock Target,Q3_97,329349303.42925304
23C,EffectiveDemand,Q3_97,2116912411.1956527
